msan,dt,total
SKT,6/28/2014,889
CBJ,6/29/2014,2050
PUJ,6/29/2014,2963
SKT,6/29/2014,882
CBJ,6/30/2014,1965
PUJ,6/30/2014,2572
SKT,6/30/2014,856
CBJ,7/1/2014,2452
CBJ,7/1/2014,2176
CBJ,7/1/2014,2177
CBJ,7/1/2014,2400
CBJ,7/1/2014,2566
CBJ,7/1/2014,2294
CBJ,7/1/2014,2232
CBJ,7/1/2014,2053
PUJ,7/1/2014,2921
PUJ,7/1/2014,3539
PUJ,7/1/2014,3014
PUJ,7/1/2014,3125
PUJ,7/1/2014,3246
PUJ,7/1/2014,2938
PUJ,7/1/2014,2408
PUJ,7/1/2014,3115
SKT,7/1/2014,747
SKT,7/1/2014,4128
SKT,7/1/2014,1169
SKT,7/1/2014,1890
SKT,7/1/2014,871
SKT,7/1/2014,916
SKT,7/1/2014,926
SKT,7/1/2014,1380
CBJ,7/2/2014,2050
CBJ,7/2/2014,2031
PUJ,7/2/2014,3221
PUJ,7/2/2014,3141
SKT,7/2/2014,1004
SKT,7/2/2014,948
CBJ,7/3/2014,2312
PUJ,7/3/2014,3207
SKT,7/3/2014,839
CBJ,7/4/2014,2161
PUJ,7/4/2014,4775
SKT,7/4/2014,1068
CBJ,7/5/2014,2033
PUJ,7/5/2014,4538
SKT,7/5/2014,930
CBJ,7/6/2014,1967
PUJ,7/6/2014,3247
SKT,7/6/2014,878
CBJ,7/7/2014,1874
PUJ,7/7/2014,2817
SKT,7/7/2014,801
CBJ,7/8/2014,1985
PUJ,7/8/2014,3548
SKT,7/8/2014,911
CBJ,7/9/2014,2159
PUJ,7/9/2014,3341
SKT,7/9/2014,847
CBJ,7/10/2014,2068
PUJ,7/10/2014,3138
SKT,7/10/2014,896
CBJ,7/12/2014,2872
PUJ,7/12/2014,3432
SKT,7/12/2014,1166
CBJ,7/13/2014,2122
PUJ,7/13/2014,3068
SKT,7/13/2014,898
CBJ,7/14/2014,1779
PUJ,7/14/2014,2678
SKT,7/14/2014,810
CBJ,7/15/2014,1904
PUJ,7/15/2014,2772
SKT,7/15/2014,1077
CBJ,7/16/2014,1871
PUJ,7/16/2014,2953
SKT,7/16/2014,1021
CBJ,7/17/2014,2125
PUJ,7/17/2014,3147
SKT,7/17/2014,918
CBJ,7/18/2014,2431
PUJ,7/18/2014,3084
SKT,7/18/2014,1095
CBJ,7/20/2014,2035
PUJ,7/20/2014,2916
SKT,7/20/2014,944
CBJ,7/22/2014,3808
PUJ,7/22/2014,4839
SKT,7/22/2014,1959
CBJ,7/23/2014,2891
PUJ,7/23/2014,3331
SKT,7/23/2014,947
CBJ,7/24/2014,1876
PUJ,7/24/2014,3300
SKT,7/24/2014,975
CBJ,7/26/2014,2223
PUJ,7/26/2014,3706
SKT,7/26/2014,1006
CBJ,7/27/2014,2169
PUJ,7/27/2014,3126
SKT,7/27/2014,2601
CBJ,7/29/2014,1146
PUJ,7/29/2014,981
SKT,7/29/2014,2762
CBJ,7/30/2014,1243
PUJ,7/30/2014,888
SKT,7/30/2014,2020
CBJ,7/31/2014,1305
PUJ,7/31/2014,1134
SKT,7/31/2014,2973
CBJ,8/1/2014,1254
PUJ,8/1/2014,1455
SKT,8/1/2014,1927
CBJ,8/2/2014,1458
PUJ,8/2/2014,1728
SKT,8/2/2014,3157
CBJ,8/4/2014,1997
CBJ,8/4/2014,1912
CBJ,8/4/2014,2090
CBJ,8/4/2014,1842
CBJ,8/4/2014,1591
CBJ,8/4/2014,1755
PUJ,8/4/2014,2684
PUJ,8/4/2014,2772
PUJ,8/4/2014,3489
PUJ,8/4/2014,2264
PUJ,8/4/2014,3106
PUJ,8/4/2014,3414
SKT,8/4/2014,857
SKT,8/4/2014,2412
SKT,8/4/2014,992
SKT,8/4/2014,990
SKT,8/4/2014,885
SKT,8/4/2014,885
CBJ,8/5/2014,1901
PUJ,8/5/2014,3030
SKT,8/5/2014,859
CBJ,8/6/2014,2374
PUJ,8/6/2014,3038
SKT,8/6/2014,949
CBJ,8/7/2014,2017
PUJ,8/7/2014,3393
SKT,8/7/2014,927
CBJ,8/8/2014,1838
PUJ,8/8/2014,3279
SKT,8/8/2014,818
CBJ,8/9/2014,2526
PUJ,8/9/2014,3413
SKT,8/9/2014,865
CBJ,8/10/2014,1842
PUJ,8/10/2014,3189
SKT,8/10/2014,1005
CBJ,8/11/2014,2264
PUJ,8/11/2014,3788
SKT,8/11/2014,1418
CBJ,8/12/2014,2709
PUJ,8/12/2014,3380
SKT,8/12/2014,1311
CBJ,8/13/2014,2491
PUJ,8/13/2014,3438
SKT,8/13/2014,2584
CBJ,8/14/2014,2220
PUJ,8/14/2014,3205
SKT,8/14/2014,3858
CBJ,8/15/2014,2002
PUJ,8/15/2014,3273
SKT,8/15/2014,1292
CBJ,8/16/2014,2096
PUJ,8/16/2014,3338
SKT,8/16/2014,4219
CBJ,8/17/2014,1957
PUJ,8/17/2014,3593
SKT,8/17/2014,2679
CBJ,8/18/2014,1928
PUJ,8/18/2014,3757
SKT,8/18/2014,1150
CBJ,8/19/2014,2115
PUJ,8/19/2014,3824
SKT,8/19/2014,947
CBJ,8/20/2014,2786
PUJ,8/20/2014,3365
SKT,8/20/2014,888
CBJ,8/22/2014,2666
PUJ,8/22/2014,3216
SKT,8/22/2014,1054
CBJ,8/23/2014,1996
PUJ,8/23/2014,3052
SKT,8/23/2014,1083
CBJ,8/24/2014,2854
PUJ,8/24/2014,3249
SKT,8/24/2014,1221
CBJ,8/25/2014,2098
PUJ,8/25/2014,2899
SKT,8/25/2014,904
CBJ,8/26/2014,2007
PUJ,8/26/2014,2987
SKT,8/26/2014,938
CBJ,9/2/2014,1837
CBJ,9/2/2014,1896
CBJ,9/2/2014,3029
CBJ,9/2/2014,3958
CBJ,9/2/2014,2365
CBJ,9/2/2014,1590
CBJ,9/2/2014,1827
CBJ,9/2/2014,1911
CBJ,9/2/2014,1840
PUJ,9/2/2014,2797
PUJ,9/2/2014,2218
PUJ,9/2/2014,2467
PUJ,9/2/2014,3286
PUJ,9/2/2014,2896
PUJ,9/2/2014,3155
PUJ,9/2/2014,3007
PUJ,9/2/2014,2927
PUJ,9/2/2014,3109
SKT,9/2/2014,905
SKT,9/2/2014,986
SKT,9/2/2014,9703
SKT,9/2/2014,2885
SKT,9/2/2014,2277
SKT,9/2/2014,900
SKT,9/2/2014,4219
SKT,9/2/2014,698
SKT,9/2/2014,3483
CBJ,9/4/2014,1851
PUJ,9/4/2014,3065
SKT,9/4/2014,3694
CBJ,9/5/2014,1852
PUJ,9/5/2014,2999
SKT,9/5/2014,3895
CBJ,9/7/2014,2032
PUJ,9/7/2014,2855
SKT,9/7/2014,2726
CBJ,9/8/2014,2619
PUJ,9/8/2014,2831
SKT,9/8/2014,3684
CBJ,9/9/2014,2134
PUJ,9/9/2014,2958
SKT,9/9/2014,3720
CBJ,9/10/2014,2852
PUJ,9/10/2014,4048
SKT,9/10/2014,3573
CBJ,9/11/2014,1985
PUJ,9/11/2014,2808
SKT,9/11/2014,3623
CBJ,9/12/2014,2361
PUJ,9/12/2014,4891
SKT,9/12/2014,4457
CBJ,9/13/2014,1940
PUJ,9/13/2014,8175
SKT,9/13/2014,4006
CBJ,9/26/2014,2503
PUJ,9/26/2014,3027
SKT,9/26/2014,911
CBJ,9/27/2014,2023
PUJ,9/27/2014,3108
