msan,dt,total
SKT,9/17/2015,1170
CBJ,9/18/2015,2863
PUJ,9/18/2015,4189
SKT,9/18/2015,1383
CBJ,9/19/2015,2811
PUJ,9/19/2015,4274
SKT,9/19/2015,1139
CBJ,9/21/2015,2258
PUJ,9/21/2015,3403
SKT,9/21/2015,1187
CBJ,10/1/2015,2101
CBJ,10/1/2015,2572
CBJ,10/1/2015,2739
CBJ,10/1/2015,2172
CBJ,10/1/2015,2731
CBJ,10/1/2015,2748
CBJ,10/1/2015,2227
CBJ,10/1/2015,2913
CBJ,10/1/2015,2496
CBJ,10/1/2015,2661
CBJ,10/1/2015,2441
CBJ,10/1/2015,3150
CBJ,10/1/2015,2483
CBJ,10/1/2015,2416
PUJ,10/1/2015,4190
PUJ,10/1/2015,4098
PUJ,10/1/2015,4277
PUJ,10/1/2015,4115
PUJ,10/1/2015,3056
PUJ,10/1/2015,2569
PUJ,10/1/2015,4850
PUJ,10/1/2015,4938
PUJ,10/1/2015,3902
PUJ,10/1/2015,3962
PUJ,10/1/2015,4689
PUJ,10/1/2015,2079
PUJ,10/1/2015,2652
PUJ,10/1/2015,4431
SKT,10/1/2015,993
SKT,10/1/2015,1274
SKT,10/1/2015,1292
SKT,10/1/2015,1106
SKT,10/1/2015,1407
SKT,10/1/2015,865
SKT,10/1/2015,775
SKT,10/1/2015,1145
SKT,10/1/2015,1043
SKT,10/1/2015,1330
SKT,10/1/2015,1226
SKT,10/1/2015,1276
SKT,10/1/2015,1066
SKT,10/1/2015,1088
CBJ,10/2/2015,2523
PUJ,10/2/2015,4543
SKT,10/2/2015,1604
