login_id,msan,dt,total
abd_halim@unifi,PUJ,1/29/2015,1
abd_halim@unifi,PUJ,1/31/2015,2
abd_halim@unifi,PUJ,2/4/2015,1
abd_halim@unifi,PUJ,2/5/2015,1
abd_halim@unifi,PUJ,2/5/2015,1
abd_halim@unifi,PUJ,2/5/2015,1
abd_halim@unifi,PUJ,2/7/2015,1
abd_halim@unifi,PUJ,2/8/2015,2
abd_halim@unifi,PUJ,2/17/2015,1
abd_halim@unifi,PUJ,2/20/2015,1
abd_halim@unifi,PUJ,2/24/2015,1
abd_halim@unifi,PUJ,2/24/2015,1
abd_halim@unifi,PUJ,2/24/2015,1
abd_halim@unifi,PUJ,2/24/2015,1
abd_halim@unifi,PUJ,2/24/2015,2
abd_halim@unifi,PUJ,2/24/2015,1
abd_halim@unifi,PUJ,2/26/2015,1
abd_halim@unifi,PUJ,2/27/2015,1
abd_halim@unifi,PUJ,2/28/2015,1
abd_halim@unifi,PUJ,3/1/2015,1
abd_halim@unifi,PUJ,3/6/2015,1
abd_halim@unifi,PUJ,3/7/2015,1
abd_halim@unifi,PUJ,3/15/2015,2
abd_halim@unifi,PUJ,3/20/2015,1
abd_halim@unifi,PUJ,3/21/2015,1
abd_halim@unifi,PUJ,3/23/2015,1
abd_halim@unifi,PUJ,3/26/2015,1
abd_halim@unifi,PUJ,3/28/2015,1
abd_halim@unifi,PUJ,4/1/2015,1
abd_halim@unifi,PUJ,4/1/2015,1
abd_halim@unifi,PUJ,4/3/2015,1
abd_halim@unifi,PUJ,4/6/2015,1
abd_halim@unifi,PUJ,4/19/2015,1
abd_halim@unifi,PUJ,4/20/2015,1
abd_halim@unifi,PUJ,4/20/2015,1
abd_halim@unifi,PUJ,4/20/2015,1
abd_halim@unifi,PUJ,4/20/2015,1
abd_halim@unifi,PUJ,4/22/2015,1
abd_halim@unifi,PUJ,4/23/2015,1
abd_halim@unifi,PUJ,4/24/2015,1
abd_halim@unifi,PUJ,4/25/2015,1
abd_halim@unifi,PUJ,4/28/2015,1
abd_halim@unifi,PUJ,4/29/2015,1
abd_halim@unifi,PUJ,4/30/2015,1
abd_halim@unifi,PUJ,5/1/2015,1
abd_halim@unifi,PUJ,5/2/2015,1
abd_halim@unifi,PUJ,5/5/2015,1
abd_halim@unifi,PUJ,5/7/2015,1
abd_halim@unifi,PUJ,5/12/2015,1
abd_halim@unifi,PUJ,5/12/2015,1
abd_halim@unifi,PUJ,5/12/2015,1
abd_halim@unifi,PUJ,5/14/2015,1
abd_halim@unifi,PUJ,5/15/2015,1
abd_halim@unifi,PUJ,5/16/2015,1
abd_halim@unifi,PUJ,5/20/2015,1
abd_halim@unifi,PUJ,5/21/2015,1
abd_halim@unifi,PUJ,5/22/2015,1
abd_halim@unifi,PUJ,5/26/2015,1
abd_halim@unifi,PUJ,5/29/2015,1
abd_halim@unifi,PUJ,6/1/2015,1
abd_halim@unifi,PUJ,6/1/2015,1
abd_halim@unifi,PUJ,6/2/2015,2
abd_halim@unifi,PUJ,6/3/2015,1
abd_halim@unifi,PUJ,6/4/2015,1
abd_halim@unifi,PUJ,6/5/2015,1
abd_halim@unifi,PUJ,6/10/2015,1
abd_halim@unifi,PUJ,6/11/2015,1
abd_halim@unifi,PUJ,6/13/2015,2
abd_halim@unifi,PUJ,6/15/2015,1
abd_halim@unifi,PUJ,6/22/2015,1
abd_halim@unifi,PUJ,6/23/2015,1
abd_halim@unifi,PUJ,6/26/2015,1
abd_halim@unifi,PUJ,6/30/2015,2
abd_halim@unifi,PUJ,6/30/2015,2
abd_halim@unifi,PUJ,7/2/2015,1
abd_halim@unifi,PUJ,7/3/2015,1
abd_halim@unifi,PUJ,7/4/2015,2
abd_halim@unifi,PUJ,7/5/2015,1
abd_halim@unifi,PUJ,7/15/2015,1
abd_halim@unifi,PUJ,7/15/2015,1
abd_halim@unifi,PUJ,7/22/2015,3
abd_halim@unifi,PUJ,7/26/2015,1
abd_halim@unifi,PUJ,8/1/2015,1
abd_halim@unifi,PUJ,8/6/2015,1
abd_halim@unifi,PUJ,8/14/2015,1
