SEGMENT,EXC_ABB,FDC_CODE,OLT_CODE,MANUFACTURER,RADIAL_DIST_METER,LONG,LAT
MSC,CBJ2,C045,G010,FUJIKURA,1265.410000000000100,101.651516942664000,2.926143872938670
MSC,CBJ2,C046,G010,FUJIKURA,742.669999999999960,101.646364829242000,2.915543319015100
MSC,CBJ2,C047,G010,FUJIKURA,726.519999999999980,101.647101074968010,2.916651836888430
MSC,CBJ2,C048,G010,FUJIKURA,795.200000000000050,101.647548900808000,2.916211210541200
MSC,CBJ2,C049,G010,FUJIKURA,5948.819999999999700,101.598984157863000,2.952747442124320
MSC,CBJ2,C050,G010,APEX,1099.339999999999900,101.650433328603000,2.925015461734830
MSC,CBJ2,C062,G010,APEX,1133.410000000000100,101.651688531210000,2.918297683427970
MSC,KLIA,C002,G001,FIBERHOME,1310.000000000000000,101.735237538931000,2.753504044658420
MSC,KLIA,C003,G01,FIBERHOME,2175.000000000000000,101.714593554926000,2.736013903031850
MSC,KLIA,C004,G001,FUJIKURA,3646.000000000000000,101.696434852187000,2.767617747196640
MSC,PUJ1,C001,G002,FUJIKURA,1167.109999999999900,101.717146190514000,2.947281317570470
MSC,PUJ1,C002,G001,APEX,1310.660000000000100,101.702175938868000,2.932499346752280
MSC,PUJ1,C003,G01,TELLABS,3494.000000000000000,101.687869492222010,2.957244497702820
MSC,PUJ1,C004,G01,TELLABS,4725.000000000000000,101.676130345912000,2.959680538050070
MSC,PUJ1,C005,G01,TELLABS,3115.000000000000000,101.686378058722000,2.944897956711440
MSC,PUJ1,C006,G004,TELLABS,3452.510000000000200,101.683283182256010,2.947454297715020
MSC,PUJ1,C007,G01,TELLABS,3778.000000000000000,101.679482814854000,2.945398296651050
MSC,PUJ1,C008,G004,3OPP,4663.319999999999700,101.671139289172000,2.942775544413260
MSC,PUJ1,C010,G005,TELLABS,2989.949999999999800,101.685886554411990,2.938064917987850
MSC,PUJ1,C011,G006,TELLABS,0.000000000000000,101.681458629267000,2.932454378909060
MSC,PUJ1,C012,G01,TELLABS,3319.000000000000000,101.688143256109000,2.920490431795450
MSC,PUJ1,C013,G01,TELLABS,3557.000000000000000,101.687943712866000,2.958223033750950
MSC,PUJ1,C014,G001,FUJIKURA,1157.220000000000000,101.717146414086000,2.947182790328210
MSC,PUJ1,C015,G001,FUJIKURA,1748.140000000000100,101.725406679474010,2.947102886378850
MSC,PUJ1,C016,G01,FUJIKURA,3385.000000000000000,101.690722903965000,2.916417431906490
MSC,PUJ1,C017,G002,3OPP,1385.430000000000100,101.723751778539000,2.943620586003490
MSC,PUJ1,C018,G002,3OPP,1385.770000000000000,101.723808964176000,2.943519073512080
MSC,PUJ1,C019,G01,TELLABS,5510.000000000000000,101.673254854799000,2.968029489804820
MSC,PUJ1,C020,G001,FUJIKURA,5469.739999999999800,101.673566387127000,2.967559803722480
MSC,PUJ1,C021,G001,FUJIKURA,1147.349999999999900,101.717146110850000,2.947084496569860
MSC,PUJ1,C022,G01,TELLABS,5521.000000000000000,101.668136919731000,2.960040836637790
MSC,SKT,C001,G01,TELLABS,526.000000000000000,101.734076399722000,2.814372466570070
MSC,SKT,C002,G001,FUJIKURA,0.000000000000000,101.734522885383000,2.816587422140960
MSC,SKT,C003,G001,FUJIKURA,0.000000000000000,101.729075579622010,2.831211641164560
MSC,SKT,C004,G01,TELLABS,2856.000000000000000,101.738778586343000,2.835635414181880
MSC,SKT,C005,G002,FUJIKURA,2093.130000000000100,101.737858467732000,2.828557170754790
MSC,SKT,C006,G01,TELLABS,500.000000000000000,101.737144561692010,2.814555221277990
MSC,SKT,C007,G01,TELLABS,1279.000000000000000,101.739611631204990,2.819582471035100
MSC,SKT,C008,G004,FUJIKURA,3339.000000000000000,101.747745888778000,2.836072709708120
MSC,SKT,C009,G004,FUJIKURA,3645.000000000000000,101.749930379316990,2.840175779803450
MSC,SKT,C010,G01,TELLABS,2983.000000000000000,101.750842096719000,2.831089284604460
MSC,SKT,C011,G001,APEX,0.000000000000000,101.737570560151990,2.811071241011820
MSC,SKT,C012,G01,TELLABS,1163.000000000000000,101.742403202611000,2.803415095511860
MSC,SKT,C013,G002,FUJIKURA,0.000000000000000,101.753133076569000,2.802164027538670
MSC,SKT,C014,G005,OPCOM,1251.000000000000000,101.748555530755990,2.791164258000580
MSC,SKT,C015,G01,TELLABS,3969.000000000000000,101.750947764546000,2.779041335224750
MSC,SKT,C016,G005,FUJIKURA,1692.000000000000000,101.737625220919000,2.797189762998480
MSC,SKT,C017,G01,TELLABS,2120.000000000000000,101.722003657334000,2.795975457742740
MSC,SKT,C018,G01,TELLABS,1034.000000000000000,101.725533800023000,2.806540278911500
MSC,SKT,C019,G004,APEX,1902.000000000000000,101.719300695904000,2.805829183537700
MSC,SKT,C020,G01,TELLABS,4206.000000000000000,101.695005498016000,2.809828617263560
MSC,SKT,C021,G01,TELLABS,1764.000000000000000,101.719771701137010,2.815266657233610
MSC,SKT,C022,G01,TELLABS,4314.000000000000000,101.695660315274000,2.818811831784910
MSC,SKT,C023,G004,FUJIKURA,4415.000000000000000,101.689837201137000,2.825986684749600
MSC,SKT,C024,G005,FUJIKURA,5300.000000000000000,101.689520643102990,2.826524313822920
